id;descripcion;activated_at;deactivated_at;severidad;estado;mensaje_usuario
1;liberalize past;2026-02-27T10:11:18;2026-02-27T16:34:06;ALTA;ACTIVA;serve against quirkily
2;digit like bid;2026-02-27T04:36:39;2026-02-26T20:59:52;BAJA;ACTIVA;worth
3;rarely nor;2026-02-27T12:37:16;2026-02-27T08:34:44;BAJA;RECONOCIDA;makeover whenever apropos
4;pfft legging;2026-02-27T00:37:01;2026-02-26T18:26:46;CRITICA;RECONOCIDA;bonnet seemingly
5;invite times venture;2026-02-27T01:56:31;2026-02-27T15:47:41;MEDIA;FINALIZADA;alongside mechanically coin
6;t-shirt;2026-02-27T10:43:20;2026-02-27T06:16:09;CRITICA;RECONOCIDA;supposing of celebrate
7;versus;2026-02-27T05:49:56;2026-02-27T00:12:26;ALTA;RECONOCIDA;oof relaunch
8;ligate;2026-02-26T22:39:39;2026-02-27T01:15:09;ALTA;RECONOCIDA;disappointment punctually
9;probate;2026-02-27T13:12:31;2026-02-27T00:54:05;CRITICA;ACTIVA;outrun
10;blond;2026-02-27T09:19:03;2026-02-26T22:29:10;CRITICA;ACTIVA;investigate pish
