id;nombre;direccion_ip;modbus_slave_id;modelo;firmware_version;estado;ultimo_heartbeat
1;quizzically mortar circumnavigate;quart;30373;assured regularly;merrily sociable dowse;OPERATIVO;2026-02-26T17:38:57
2;mmm psst;accentuate;21087;although;angelic if;OPERATIVO;2026-02-26T21:16:36
3;grouchy;giant curiously gastropod;32474;via nearly after;extra-large reprimand;MANTENIMIENTO;2026-02-27T00:48:20
4;while urgently;polyester;28715;while;cap;DESCONECTADO;2026-02-27T07:06:44
5;considering than alb;incidentally;24495;mmm next;bah gadzooks;FALLA;2026-02-27T00:49:30
6;yowza;majestic;29372;swath;colon;FALLA;2026-02-26T20:30:01
7;pro um defenseless;before now;18326;as till;for gosh back;MANTENIMIENTO;2026-02-26T20:47:27
8;to gee defensive;hence;16306;aha;kissingly;OPERATIVO;2026-02-27T09:54:20
9;gently far-flung;less alienated;24497;gracefully;rationale knavishly;FALLA;2026-02-26T20:55:35
10;deflect sardonic wasteful;bashfully ouch unzip;19403;depend;fooey aha youthfully;OPERATIVO;2026-02-26T21:04:59
