id;nombre;codigo;descripcion_tecnica
1;minty octave;only dependent when;clinking yesterday
2;irritably;bony powerfully lightly;up
3;creamy;however;practical atop save
4;save;against wholly pish;across stranger weekly
5;provided;meaty;championship honestly out
6;helpfully;when interestingly;dress
7;putrid pricey;even;understanding
8;smoothly busy secularize;a triumphantly ick;pish where whose
9;woot sandbar or;qualified jam-packed oddball;shakily
10;subdued meh meh;playfully oily;whoa phew amused
