id;nombre;descripcion;scaling_factor;unidad_medida;funcion_lectura;funcion_escritura
1;bin;atop;30209.73;wherever blah;although meaningfully;suckle ashamed
2;cinch along likewise;frankly flight or;1652.89;nudge huddle spring;till;unexpectedly
3;rural guzzle;whenever deceivingly throughout;12343.03;lanky;before powerless;gee inscribe
4;gad brr since;outside glittering;25174.28;broadcast forceful finally;provided disloyal individual;kiddingly into carboxyl
5;fast;deform;18775.88;physically uselessly instantly;bench fashion;meanwhile yearly pfft
6;under upside-down promptly;troubled;21413.41;gah;reborn rise besides;brace
7;equatorial but;awkwardly huzzah;3913.57;righteously;stained often stock;someplace blank
8;fork;memorable round;24508.67;uh-huh ick unit;woot certainly to;aw wonderful
9;flickering shell throughout;considering;16317.75;sarcastic through;SUV boo;that upright
10;rough;adjourn deceivingly versus;25119.02;foolishly;traduce;apud ah
