id;nombre;codigo;ubicacion;fecha_registro
1;salty dark aw;mobility;woot scale silently;2026-02-27T00:06:39
2;split gah woefully;gah at;annually cautious rare;2026-02-26T16:47:14
3;boohoo;failing forager;round;2026-02-27T12:24:50
4;collaboration since dependent;very wherever;crazy fervently drat;2026-02-27T06:35:27
5;frightened rapid cop-out;within;industrialize growing;2026-02-27T04:59:17
6;blindly vivaciously;lest;delete before cop-out;2026-02-26T19:33:53
7;know;little;colorfully;2026-02-27T11:13:46
8;courageously yahoo microblog;piglet turret;thoughtfully abaft once;2026-02-26T16:46:51
9;athletic;wheel yawn for;frightfully;2026-02-26T18:00:47
10;exhausted;lifestyle untried;hoof;2026-02-27T08:15:29
